Device_id,Core ID,mac_ratio,scalar_ratio,mte1_ratio,mte2_ratio,fixpipe_ratio,icache_miss_rate
0,Core0,0.314,0.463,0.396,0.563,0.191,0.011
0,Core1,0.313,0.451,0.396,0.557,0.187,0.011
0,Core2,0.313,0.454,0.396,0.556,0.186,0.011
0,Core3,0.313,0.45,0.395,0.555,0.186,0.011
0,Core4,0.311,0.462,0.393,0.557,0.187,0.011
0,Core5,0.311,0.453,0.393,0.558,0.188,0.011
0,Core6,0.314,0.462,0.397,0.557,0.189,0.011
0,Core7,0.313,0.448,0.396,0.556,0.187,0.011
0,Core10,0.312,0.453,0.394,0.555,0.188,0.011
0,Core11,0.311,0.451,0.393,0.553,0.188,0.011
0,Core12,0.313,0.463,0.395,0.557,0.189,0.011
0,Core13,0.312,0.448,0.395,0.556,0.186,0.011
0,Core16,0.312,0.464,0.394,0.555,0.187,0.011
0,Core17,0.312,0.453,0.394,0.552,0.187,0.011
0,Core18,0.313,0.459,0.395,0.563,0.19,0.011
0,Core19,0.313,0.449,0.396,0.557,0.188,0.011
0,Core20,0.313,0.464,0.395,0.555,0.187,0.011
0,Core21,0.311,0.455,0.394,0.549,0.185,0.011
0,Core22,0.312,0.457,0.395,0.556,0.187,0.011
0,Core23,0.31,0.459,0.391,0.552,0.188,0.011
0,Average,0.312,0.456,0.395,0.556,0.188,0.011
