Device_id,Core ID,vec_ratio,mac_ratio,scalar_ratio,mte1_ratio,mte2_ratio,mte3_ratio,icache_miss_rate,memory_bound
0,Core25,0.188,0.0,0.257,0.0,0.282,0.109,0.026,1.5
0,Core26,0.188,0.0,0.255,0.0,0.284,0.107,0.026,1.511
0,Core27,0.187,0.0,0.256,0.0,0.284,0.105,0.026,1.519
0,Core28,0.186,0.0,0.255,0.0,0.283,0.105,0.026,1.522
0,Core29,0.186,0.0,0.255,0.0,0.283,0.105,0.026,1.522
0,Core30,0.185,0.0,0.254,0.0,0.283,0.106,0.026,1.53
0,Core31,0.187,0.0,0.252,0.0,0.288,0.11,0.026,1.54
0,Core32,0.187,0.0,0.252,0.0,0.287,0.109,0.026,1.535
0,Core35,0.187,0.0,0.251,0.0,0.28,0.115,0.026,1.497
0,Core36,0.186,0.0,0.252,0.0,0.282,0.111,0.026,1.516
0,Core37,0.187,0.0,0.256,0.0,0.282,0.108,0.026,1.508
0,Core38,0.187,0.0,0.254,0.0,0.285,0.107,0.026,1.524
0,Core41,0.185,0.0,0.257,0.0,0.282,0.105,0.026,1.524
0,Core42,0.185,0.0,0.254,0.0,0.286,0.108,0.026,1.546
0,Core43,0.186,0.0,0.252,0.0,0.29,0.108,0.026,1.559
0,Core44,0.186,0.0,0.253,0.0,0.288,0.106,0.026,1.548
0,Core45,0.187,0.0,0.255,0.0,0.28,0.105,0.026,1.497
0,Core46,0.187,0.0,0.256,0.0,0.279,0.104,0.026,1.492
0,Core47,0.186,0.0,0.253,0.0,0.284,0.105,0.026,1.527
0,Core48,0.187,0.0,0.256,0.0,0.276,0.107,0.026,1.476
0,Core50,0.188,0.0,0.256,0.0,0.286,0.11,0.026,1.521
0,Core51,0.187,0.0,0.263,0.0,0.286,0.107,0.026,1.529
0,Core52,0.187,0.0,0.264,0.0,0.284,0.105,0.026,1.519
0,Core53,0.186,0.0,0.265,0.0,0.284,0.106,0.026,1.527
0,Core54,0.185,0.0,0.257,0.0,0.285,0.106,0.026,1.541
0,Core55,0.185,0.0,0.264,0.0,0.284,0.108,0.026,1.535
0,Core56,0.188,0.0,0.262,0.0,0.284,0.112,0.026,1.511
0,Core57,0.187,0.0,0.261,0.0,0.286,0.11,0.026,1.529
0,Core60,0.187,0.0,0.261,0.0,0.281,0.116,0.026,1.503
0,Core61,0.185,0.0,0.26,0.0,0.285,0.111,0.026,1.541
0,Core62,0.187,0.0,0.253,0.0,0.287,0.11,0.026,1.535
0,Core63,0.185,0.0,0.256,0.0,0.289,0.108,0.026,1.562
0,Core66,0.185,0.0,0.254,0.0,0.29,0.108,0.026,1.568
0,Core67,0.184,0.0,0.254,0.0,0.286,0.108,0.026,1.554
0,Core68,0.187,0.0,0.261,0.0,0.288,0.109,0.026,1.54
0,Core69,0.187,0.0,0.261,0.0,0.286,0.107,0.026,1.529
0,Core70,0.186,0.0,0.253,0.0,0.285,0.106,0.026,1.532
0,Core71,0.187,0.0,0.253,0.0,0.283,0.106,0.026,1.513
0,Core72,0.187,0.0,0.261,0.0,0.281,0.107,0.026,1.503
0,Core73,0.186,0.0,0.254,0.0,0.282,0.108,0.026,1.516
0,Average,0.186,0.0,0.256,0.0,0.284,0.108,0.026,1.527
