(Worker_TP4_EP4 pid=754855) WARNING 09-20 18:31:19 [model_runner_v1.py:269] ITEM_TRACE steps=8 rows=[(('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 1008, 'npu:4'), 8, 329.576, 99.459), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 1009, 'npu:4'), 8, 0.83, 0.15), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 732, 'cpu'), 64, 0.49, 0.011), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 733, 'cpu'), 64, 0.184, 0.005), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 418, 'cpu'), 8, 0.059, 0.009), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 443, 'cpu'), 3, 0.012, 0.004), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 446, 'cpu'), 3, 0.008, 0.003)]
(Worker_TP0_EP0 pid=754594) WARNING 09-20 18:31:19 [model_runner_v1.py:269] ITEM_TRACE steps=8 rows=[(('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 1008, 'npu:0'), 8, 466.486, 130.068), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 1009, 'npu:0'), 8, 0.655, 0.117), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 732, 'cpu'), 64, 0.458, 0.011), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 733, 'cpu'), 64, 0.204, 0.005), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 418, 'cpu'), 8, 0.049, 0.006), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 443, 'cpu'), 3, 0.012, 0.004), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 446, 'cpu'), 3, 0.008, 0.003)]
(Worker_TP1_EP1 pid=754640) WARNING 09-20 18:31:19 [model_runner_v1.py:269] ITEM_TRACE steps=8 rows=[(('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 1008, 'npu:1'), 8, 462.141, 131.042), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 1009, 'npu:1'), 8, 1.167, 0.213), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 732, 'cpu'), 64, 0.559, 0.016), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 733, 'cpu'), 64, 0.246, 0.007), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 418, 'cpu'), 8, 0.05, 0.007), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 443, 'cpu'), 3, 0.011, 0.004), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 446, 'cpu'), 3, 0.008, 0.003)]
(Worker_TP6_EP6 pid=754999) WARNING 09-20 18:31:19 [model_runner_v1.py:269] ITEM_TRACE steps=8 rows=[(('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 1008, 'npu:6'), 8, 305.457, 95.346), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 1009, 'npu:6'), 8, 1.062, 0.243), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 732, 'cpu'), 64, 0.682, 0.039), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 733, 'cpu'), 64, 0.261, 0.008), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 418, 'cpu'), 8, 0.059, 0.008), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 443, 'cpu'), 3, 0.012, 0.004), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 446, 'cpu'), 3, 0.007, 0.002)]
(Worker_TP3_EP3 pid=754783) WARNING 09-20 18:31:19 [model_runner_v1.py:269] ITEM_TRACE steps=8 rows=[(('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 1008, 'npu:3'), 8, 295.596, 97.453), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 1009, 'npu:3'), 8, 1.076, 0.238), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 732, 'cpu'), 64, 0.606, 0.02), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 733, 'cpu'), 64, 0.239, 0.007), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 418, 'cpu'), 8, 0.059, 0.01), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 443, 'cpu'), 3, 0.013, 0.004), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 446, 'cpu'), 3, 0.008, 0.003)]
(Worker_TP2_EP2 pid=754711) WARNING 09-20 18:31:19 [model_runner_v1.py:269] ITEM_TRACE steps=8 rows=[(('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 1008, 'npu:2'), 8, 274.299, 90.422), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 1009, 'npu:2'), 8, 1.054, 0.185), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 732, 'cpu'), 64, 0.672, 0.02), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 733, 'cpu'), 64, 0.248, 0.007), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 418, 'cpu'), 8, 0.06, 0.008), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 443, 'cpu'), 3, 0.013, 0.005), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 446, 'cpu'), 3, 0.008, 0.003)]
(Worker_TP5_EP5 pid=754927) WARNING 09-20 18:31:19 [model_runner_v1.py:269] ITEM_TRACE steps=8 rows=[(('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 1008, 'npu:5'), 8, 307.092, 98.829), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 1009, 'npu:5'), 8, 1.178, 0.272), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 732, 'cpu'), 64, 0.649, 0.02), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 733, 'cpu'), 64, 0.26, 0.008), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 418, 'cpu'), 8, 0.061, 0.009), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 443, 'cpu'), 3, 0.012, 0.004), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 446, 'cpu'), 3, 0.009, 0.003)]
(Worker_TP7_EP7 pid=755071) WARNING 09-20 18:31:19 [model_runner_v1.py:269] ITEM_TRACE steps=8 rows=[(('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 1008, 'npu:7'), 8, 283.248, 94.33), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 1009, 'npu:7'), 8, 1.027, 0.223), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 732, 'cpu'), 64, 0.626, 0.02), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 733, 'cpu'), 64, 0.243, 0.008), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 418, 'cpu'), 8, 0.06, 0.009), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 443, 'cpu'), 3, 0.013, 0.004), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 446, 'cpu'), 3, 0.008, 0.003)]
(Worker_TP0_EP0 pid=754594) WARNING 09-20 18:31:20 [model_runner_v1.py:269] ITEM_TRACE steps=16 rows=[(('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 1008, 'npu:0'), 16, 513.276, 130.068), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 1009, 'npu:0'), 16, 1.137, 0.117), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 732, 'cpu'), 128, 0.855, 0.011), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 733, 'cpu'), 128, 0.385, 0.005), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 418, 'cpu'), 16, 0.097, 0.007), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 443, 'cpu'), 3, 0.012, 0.004), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 446, 'cpu'), 3, 0.008, 0.003)]
(Worker_TP1_EP1 pid=754640) WARNING 09-20 18:31:20 [model_runner_v1.py:269] ITEM_TRACE steps=16 rows=[(('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 1008, 'npu:1'), 16, 499.736, 131.042), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 1009, 'npu:1'), 16, 1.643, 0.213), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 732, 'cpu'), 128, 0.987, 0.018), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 733, 'cpu'), 128, 0.426, 0.007), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 418, 'cpu'), 16, 0.097, 0.007), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 443, 'cpu'), 3, 0.011, 0.004), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 446, 'cpu'), 3, 0.008, 0.003)]
(Worker_TP4_EP4 pid=754855) WARNING 09-20 18:31:20 [model_runner_v1.py:269] ITEM_TRACE steps=16 rows=[(('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 1008, 'npu:4'), 16, 337.613, 99.459), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 1009, 'npu:4'), 16, 1.379, 0.15), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 732, 'cpu'), 128, 0.947, 0.011), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/context_parallel/dsa_cp.py', 733, 'cpu'), 128, 0.363, 0.005), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 418, 'cpu'), 16, 0.113, 0.009), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 443, 'cpu'), 3, 0.012, 0.004), (('/vllm-workspace/vllm-ascend/vllm_ascend/attention/utils.py', 446, 'cpu'), 3, 0.008, 0.003)]
