Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,GroupedMatmulSwigluQuantV2_Tiling,246.96,8,30.87,0.64,65.8,915.97
host,acl,aclnnGroupedMatmulSwigluQuantWeightNzV2,256.59,4,64.147,59.12,76.05,48.451
host,acl,aclnnGroupedMatmulSwigluQuantWeightNzV2GetWorkspaceSize,527.33,4,131.832,126.06,140.12,26.311
host,acl,aclrtGetDeviceCount,4.89,1,4.89,4.89,4.89,0
host,acl,aclrtGetHardwareSyncAddr,3.22,4,0.805,0.69,1.02,0.018
host,acl,aclrtGetResInCurrentThread,10.73,8,1.341,0.3,2.79,1.084
host,acl,aclrtGetStreamAttribute,4.6,4,1.15,0.74,2.09,0.298
host,acl,aclrtLaunchKernelWithHostArgs,50.12,4,12.53,10.83,16.36,4.978
host,acl,aclrtSynchronizeDeviceWithTimeout,33.92,1,33.92,33.92,33.92,0
host,node,launch,161.88,4,40.47,37.24,48.4,21.105
