Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
_C_ascend::grouped_matmul_swiglu_quant_v2,,,243.86,312.67,0,118.762,0,0
aten::empty,,,10.73,27.75,0,0,0,0
empty_tensor,,,17.02,17.02,0,0,0,0
aten::empty,,,1.65,6.05,0,0,0,0
empty_tensor,,,4.4,4.4,0,0,0,0
aten::empty,,,4.52,18.02,0,0,0,0
empty_tensor,,,13.5,13.5,0,0,0,0
aclnnGroupedMatmulSwigluQuantWeightNzV2,,,16.99,16.99,118.762,118.762,0,0
_C_ascend::grouped_matmul_swiglu_quant_v2,,,178.66,237.81,0,118.7225,0,0
aten::empty,,,3.9,17.86,0,0,0,0
empty_tensor,,,13.96,13.96,0,0,0,0
aten::empty,,,1.39,5.86,0,0,0,0
empty_tensor,,,4.47,4.47,0,0,0,0
aten::empty,,,4.35,17.77,0,0,0,0
empty_tensor,,,13.42,13.42,0,0,0,0
aclnnGroupedMatmulSwigluQuantWeightNzV2,,,17.66,17.66,118.7225,118.7225,0,0
_C_ascend::grouped_matmul_swiglu_quant_v2,,,176.25,232.41,0,118.242,0,0
aten::empty,,,3.92,17.18,0,0,0,0
empty_tensor,,,13.26,13.26,0,0,0,0
aten::empty,,,1.58,6.48,0,0,0,0
empty_tensor,,,4.9,4.9,0,0,0,0
aten::empty,,,3.98,16.98,0,0,0,0
empty_tensor,,,13.0,13.0,0,0,0,0
aclnnGroupedMatmulSwigluQuantWeightNzV2,,,15.52,15.52,118.242,118.242,0,0
_C_ascend::grouped_matmul_swiglu_quant_v2,,,172.32,227.95,0,121.4025,0,0
aten::empty,,,3.99,17.21,0,0,0,0
empty_tensor,,,13.22,13.22,0,0,0,0
aten::empty,,,1.56,5.87,0,0,0,0
empty_tensor,,,4.31,4.31,0,0,0,0
aten::empty,,,4.21,16.8,0,0,0,0
empty_tensor,,,12.59,12.59,0,0,0,0
aclnnGroupedMatmulSwigluQuantWeightNzV2,,,15.75,15.75,121.4025,121.4025,0,0
