Step Id,Device_id,Name,Type,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num
0,0,aclnnGeScalar_CastAiCore_Cast,N/A,N/A,1790315215714745.701	,0.880,0,1
0,0,aclnnGeScalar_GreaterEqual_GreaterEqual,N/A,N/A,1790315215714851.943	,2.660,105.370000,1
0,0,aclnnLtScalar_CastAiCore_Cast,N/A,N/A,1790315215714947.945	,0.980,93.340000,1
0,0,aclnnLtScalar_LessAiCore_Less,N/A,N/A,1790315215714992.606	,2.440,43.520000,1
0,0,aclnnBitwiseAndTensor_LogicalAndAiCore_LogicalAnd,N/A,N/A,1790315215715086.787	,1.600,91.810000,1
0,0,aclnnMuls_CastAiCore_Cast,N/A,N/A,1790315215715181.269	,1.120,92.900000,1
0,0,aclnnMuls_MulAiCore_Mul,N/A,N/A,1790315215715249.971	,1.940,67.630000,1
0,0,aclnnSub_CastAiCore_Cast,N/A,N/A,1790315215715328.812	,1.280,76.810000,1
0,0,aclnnSub_SubAiCore_Sub,N/A,N/A,1790315215715378.313	,2.520,48.220000,1
0,0,aclnnMul_CastAiCore_Cast,N/A,N/A,1790315215715436.954	,1.060,56.230000,1
0,0,aclnnMul_MulAiCore_Mul,N/A,N/A,1790315215715469.675	,2.140,31.690000,1
0,0,aclnnBitwiseNot_LogicalNotAiCore_LogicalNot,N/A,N/A,1790315215715537.596	,1.120,65.610000,1
0,0,aclnnEmbedding_GatherV2AiCore_GatherV2,N/A,N/A,1790315215715676.079	,7.060,137.380000,30
0,0,aclnnInplaceCopy_TensorMoveAiCore_TensorMove,N/A,N/A,1790315215717024.966	,6.920,1341.940000,40
0,0,aclnnInplaceMaskedFillScalar_MaskedFillAiCore_MaskedFill,N/A,N/A,1790315215717603.358	,12.380,571.330000,30
0,0,AivKernel,N/A,N/A,1790315215718154.049	,12.560,538.370000,8
0,0,hcom_reduceScatter__503_0_1,N/A,COMMUNICATION,1790315215718154.049	,12.560,0.000000,0
0,0,aclnnRepeat_TileAiCore_Tile,N/A,N/A,1790315215718330.412	,5.800,163.940000,22
0,0,HcPre,N/A,N/A,1790315215718448.535	,31.780,112.200000,20
0,0,RmsNorm,N/A,N/A,1790315215718555.037	,6.000,74.720000,11
0,0,AivKernel,N/A,N/A,1790315215719147.889	,10.620,587.000000,8
0,0,hcom_allGather__503_1_1,N/A,COMMUNICATION,1790315215719147.889	,10.620,0.000000,0
0,0,aclnnDynamicQuantV2_DynamicQuant_DynamicQuant,N/A,N/A,1790315215719293.691	,4.241,135.130000,3
0,0,aclnnQuantMatmulWeightNz_QuantBatchMatmulV3_QuantBatchMatmulV3,N/A,N/A,1790315215719404.274	,15.680,106.259000,16
0,0,RmsNormDynamicQuant,N/A,N/A,1790315215719596.177	,6.501,176.320000,11
0,0,aclnnQuantMatmulWeightNz_QuantBatchMatmulV3_QuantBatchMatmulV3,N/A,N/A,1790315215719688.519	,35.581,85.749000,19
0,0,triton_rms_kernel,N/A,N/A,1790315215720094.907	,13.101,370.919000,40
0,0,InplacePartialRotaryMul,N/A,N/A,1790315215720252.491	,5.500,144.399000,11
0,0,aclnnDynamicQuantV2_DynamicQuant_DynamicQuant,N/A,N/A,1790315215721948.304	,7.081,1690.250000,21
0,0,aclnnQuantMatmulWeightNz_QuantBatchMatmulV3_QuantBatchMatmulV3,N/A,N/A,1790315215723153.969	,14.160,1198.669000,16
0,0,RmsNorm,N/A,N/A,1790315215723373.653	,9.560,205.590000,28
0,0,InplacePartialRotaryMul,N/A,N/A,1790315215723603.758	,10.100,220.440000,28
0,0,aclnnScatterNdUpdateSk_ScatterNdUpdateSkAiCore_ScatterNdUpdateSk,N/A,N/A,1790315215723812.402	,25.880,198.650000,40
0,0,SparseAttnSharedkv,N/A,N/A,1790315215724092.027	,23.741,253.620000,20
0,0,aclnnNeg_NegAiCore_Neg,N/A,N/A,1790315215724211.110	,1.000,95.259000,1
0,0,InplacePartialRotaryMul,N/A,N/A,1790315215724294.631	,5.220,82.750000,11
0,0,aclnnInplaceCopy_TransposeAiCore_Transpose,N/A,N/A,1790315215724401.734	,12.200,101.780000,40
0,0,AivKernel,N/A,N/A,1790315215724624.838	,13.140,210.800000,8
0,0,hcom_alltoall__503_2_1,N/A,COMMUNICATION,1790315215724624.838	,13.140,0.000000,0
0,0,aclnnTransposeBatchMatMul_TransposeBatchMatMul_TransposeBatchMatMul,N/A,N/A,1790315215724824.862	,33.181,186.860000,20
0,0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1790315215726276.471	,16.080,1418.569000,20
0,0,hcom_reduceScatter__503_3_1,N/A,COMMUNICATION,1790315215726540.836	,12.940,248.170000,0
0,0,AivKernel,N/A,N/A,1790315215726540.836	,12.940,0.000000,8
0,0,HcPost,N/A,N/A,1790315215726987.005	,8.760,433.310000,11
0,0,HcPre,N/A,N/A,1790315215727138.288	,32.861,142.490000,20
0,0,RmsNorm,N/A,N/A,1790315215727208.890	,4.780,37.889000,11
0,0,aclnnInplaceCopy_CastAiCore_Cast,N/A,N/A,1790315215727405.174	,6.340,191.470000,40
0,0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1790315215727804.861	,11.301,393.160000,16
0,0,hcom_allGather__503_4_1,N/A,COMMUNICATION,1790315215728267.931	,11.000,451.949000,0
0,0,AivKernel,N/A,N/A,1790315215728267.931	,11.000,0.000000,8
0,0,hcom_allGather__503_5_1,N/A,COMMUNICATION,1790315215728575.337	,5.680,296.250000,0
0,0,AivKernel,N/A,N/A,1790315215728575.337	,5.680,0.000000,8
0,0,aclnnInplaceCopy_CastAiCore_Cast,N/A,N/A,1790315215728918.124	,1.040,337.070000,1
0,0,aclnnEqScalar_EqualAiCore_Equal,N/A,N/A,1790315215729105.187	,2.141,186.210000,1
0,0,aclnnInplaceFillScalar_FillAiCore_Fill,N/A,N/A,1790315215729170.769	,1.140,63.359000,1
0,0,aclnnSWhere_SelectV2AiCore_SelectV2,N/A,N/A,1790315215729238.930	,2.720,67.110000,1
0,0,MoeGatingTopKHash,N/A,N/A,1790315215729335.652	,11.260,94.030000,30
0,0,aclnnInplaceCopy_CastAiCore_Cast,N/A,N/A,1790315215729479.155	,1.060,132.240000,1
0,0,aclnnIndex_IndexCheck_IndexCheck,N/A,N/A,1790315215730016.566	,12.200,536.190000,40
0,0,aclnnIndex_IndexAiCore_Index,N/A,N/A,1790315215730094.147	,11.460,65.550000,40
0,0,aclnnNeScalar_NotEqualAiCore_NotEqual,N/A,N/A,1790315215730170.549	,1.660,64.790000,1
0,0,aclnnMul_CastAiCore_Cast,N/A,N/A,1790315215730250.990	,1.560,78.840000,1
0,0,aclnnMul_MulAiCore_Mul,N/A,N/A,1790315215730294.671	,1.380,42.190000,1
0,0,aclnnMoeInitRoutingV3_MoeInitRoutingV3_MoeInitRoutingV3,N/A,N/A,1790315215730541.676	,30.981,245.620000,40
0,0,aclnnGroupedMatmulSwigluQuantWeightNzV2_GroupedMatmulSwigluQuantV2_GroupedMatmulSwigluQuantV2,N/A,N/A,1790315215731045.986	,161.643,473.269000,20
0,0,aclnnGroupedMatmulWeightNz_GroupedMatmul_GroupedMatmul,N/A,N/A,1790315215731938.404	,93.162,730.857000,20
0,0,aclnnAbs_AbsAiCore_Abs,N/A,N/A,1790315215732295.191	,1.220,263.588000,1
0,0,MoeTokenUnpermute,N/A,N/A,1790315215732398.893	,12.181,102.530000,40
0,0,hcom_reduceScatter__503_6_1,N/A,COMMUNICATION,1790315215732756.300	,11.901,345.069000,0
0,0,AivKernel,N/A,N/A,1790315215732756.300	,11.901,0.000000,8
0,0,aclnnDynamicQuantV2_DynamicQuant_DynamicQuant,N/A,N/A,1790315215733169.009	,3.940,400.849000,3
0,0,aclnnQuantMatmulWeightNz_QuantBatchMatmulV3_QuantBatchMatmulV3,N/A,N/A,1790315215733435.994	,21.640,263.060000,19
0,0,DequantSwigluQuant,N/A,N/A,1790315215733723.620	,5.880,265.860000,6
0,0,aclnnQuantMatmulWeightNz_QuantBatchMatmulV3_QuantBatchMatmulV3,N/A,N/A,1790315215733972.245	,17.740,242.870000,16
0,0,aclnnAdd_AddAiCore_Add,N/A,N/A,1790315215734409.653	,7.801,419.760000,40
0,0,HcPost,N/A,N/A,1790315215734586.077	,7.700,168.449000,11
0,0,HcPre,N/A,N/A,1790315215734728.940	,31.440,135.300000,20
0,0,RmsNorm,N/A,N/A,1790315215734800.641	,4.900,40.310000,11
0,0,hcom_allGather__503_7_1,N/A,COMMUNICATION,1790315215735296.511	,10.740,490.850000,0
0,0,AivKernel,N/A,N/A,1790315215735296.511	,10.740,0.000000,8
0,0,aclnnDynamicQuantV2_DynamicQuant_DynamicQuant,N/A,N/A,1790315215735394.933	,3.860,87.760000,3
0,0,aclnnQuantMatmulWeightNz_QuantBatchMatmulV3_QuantBatchMatmulV3,N/A,N/A,1790315215735501.395	,16.501,102.640000,16
0,0,RmsNormDynamicQuant,N/A,N/A,1790315215735648.018	,6.960,129.999000,11
0,0,aclnnQuantMatmulWeightNz_QuantBatchMatmulV3_QuantBatchMatmulV3,N/A,N/A,1790315215735754.960	,35.301,100.040000,19
0,0,triton_rms_kernel,N/A,N/A,1790315215736061.066	,13.541,270.699000,40
0,0,InplacePartialRotaryMul,N/A,N/A,1790315215736213.730	,5.360,139.209000,11
0,0,aclnnDynamicQuantV2_DynamicQuant_DynamicQuant,N/A,N/A,1790315215736358.892	,7.101,139.890000,21
0,0,aclnnQuantMatmulWeightNz_QuantBatchMatmulV3_QuantBatchMatmulV3,N/A,N/A,1790315215736456.874	,13.821,90.649000,16
0,0,RmsNorm,N/A,N/A,1790315215736558.976	,10.121,88.429000,28
0,0,InplacePartialRotaryMul,N/A,N/A,1790315215736716.380	,9.800,147.379000,28
0,0,aclnnScatterNdUpdateSk_ScatterNdUpdateSkAiCore_ScatterNdUpdateSk,N/A,N/A,1790315215736797.001	,26.121,70.700000,40
0,0,SparseAttnSharedkv,N/A,N/A,1790315215736943.964	,22.821,120.879000,20
0,0,aclnnNeg_NegAiCore_Neg,N/A,N/A,1790315215737057.106	,0.880,90.179000,1
0,0,InplacePartialRotaryMul,N/A,N/A,1790315215737129.828	,5.040,71.870000,11
0,0,aclnnInplaceCopy_TransposeAiCore_Transpose,N/A,N/A,1790315215737216.350	,11.820,81.460000,40
0,0,AivKernel,N/A,N/A,1790315215737391.233	,12.720,163.180000,8
0,0,hcom_alltoall__503_8_1,N/A,COMMUNICATION,1790315215737391.233	,12.720,0.000000,0
0,0,aclnnTransposeBatchMatMul_TransposeBatchMatMul_TransposeBatchMatMul,N/A,N/A,1790315215737566.457	,33.580,162.530000,20
0,0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1790315215737810.661	,18.401,210.670000,20
0,0,hcom_reduceScatter__503_9_1,N/A,COMMUNICATION,1790315215738041.586	,12.440,212.349000,0
0,0,AivKernel,N/A,N/A,1790315215738041.586	,12.440,0.000000,8
0,0,HcPost,N/A,N/A,1790315215738390.413	,7.480,336.560000,11
0,0,HcPre,N/A,N/A,1790315215738512.135	,31.441,114.270000,20
0,0,RmsNorm,N/A,N/A,1790315215738586.637	,4.700,43.059000,11
0,0,aclnnInplaceCopy_CastAiCore_Cast,N/A,N/A,1790315215738735.180	,8.040,143.800000,40
0,0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1790315215738991.445	,13.660,248.210000,16
