Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
npu_fx_compiler inference,,,17917.19,445681.12,0,43491.2905,0,0
aten::ge,,,273.98,2337.63,0,3.54,0,0
empty_tensor,,,2038.54,2038.54,0,0,0,0
aclnnGeScalar,,,25.11,25.11,3.54,3.54,0,0
aten::lt,,,108.5,126.42,0,3.42,0,0
empty_tensor,,,11.8,11.8,0,0,0,0
aclnnLtScalar,,,6.12,6.12,3.42,3.42,0,0
aten::bitwise_and,,,90.57,106.22,0,1.6,0,0
empty_tensor,,,10.54,10.54,0,0,0,0
aclnnBitwiseAndTensor,,,5.11,5.11,1.6,1.6,0,0
aten::mul,,,110.41,136.76,0,3.06,0,0
empty_tensor,,,11.04,11.04,0,0,0,0
aten::item,,,4.74,11.01,0,0,0,0
aten::_local_scalar_dense,,,6.27,6.27,0,0,0,0
aclnnMuls,,,4.3,4.3,3.06,3.06,0,0
aten::sub,,,101.77,115.16,0,3.8,0,0
empty_tensor,,,8.92,8.92,0,0,0,0
aclnnSub,,,4.47,4.47,3.8,3.8,0,0
aten::mul,,,67.27,78.2,0,3.2,0,0
empty_tensor,,,6.92,6.92,0,0,0,0
aclnnMul,,,4.01,4.01,3.2,3.2,0,0
aten::bitwise_not,,,68.2,79.36,0,1.12,0,0
empty_tensor,,,7.38,7.38,0,0,0,0
aclnnBitwiseNot,,,3.78,3.78,1.12,1.12,0,0
aten::embedding,,,86.28,108.39,0,7.06,0,0
empty_tensor,,,10.33,10.33,0,0,0,0
aclnnEmbedding,,,11.78,11.78,7.06,7.06,0,0
aten::unsqueeze,,,8.25,19.4,0,0,0,0
aten::as_strided,,,11.15,11.15,0,0,0,0
aten::masked_fill,,,1594.1,1853.41,0,19.3005,0,0
aten::expand,,,7.68,13.71,0,0,0,0
aten::as_strided,,,6.03,6.03,0,0,0,0
aten::expand,,,1.37,2.74,0,0,0,0
aten::as_strided,,,1.37,1.37,0,0,0,0
aten::clone,,,14.88,140.13,0,6.9205,0,0
empty_tensor,,,20.12,20.12,0,0,0,0
aten::copy_,,,90.74,105.13,0,6.9205,0,0
aclnnInplaceCopy,,,14.39,14.39,6.9205,6.9205,0,0
aten::masked_fill_,,,90.23,102.73,0,12.38,0,0
aclnnInplaceMaskedFillScalar,,,12.5,12.5,12.38,12.38,0,0
vllm::maybe_pad_and_reduce,,,99.38,542.28,0,12.84,0,0
vllm::reduce_scatter,,,209.52,442.9,0,12.84,0,0
aten::movedim,,,4.53,25.06,0,0,0,0
aten::movedim,,,7.35,20.53,0,0,0,0
aten::permute,,,5.78,13.18,0,0,0,0
aten::as_strided,,,7.4,7.4,0,0,0,0
aten::empty,,,6.72,20.8,0,0,0,0
empty_tensor,,,14.08,14.08,0,0,0,0
c10d::_reduce_scatter_base_,,,124.88,168.61,0,12.82,0,0
record_event,,,17.05,17.05,0.02,0.02,0,0
wait_event,,,3.7,3.7,0.02,0.02,0,0
HcclReduceScatterBase,,,6.04,8.31,0,12.56,0,0
HcclReduceScatter,,,2.27,2.27,12.56,12.56,0,0
record_event,,,11.57,11.57,0.02,0.02,0,0
record_event,,,3.1,3.1,0.2,0.2,0,0
wait_event,,,3.49,3.49,0.02,0.02,0,0
destroy_event,,,2.28,2.28,0,0,0,0
aten::movedim,,,1.71,13.14,0,0,0,0
aten::movedim,,,2.58,11.43,0,0,0,0
aten::permute,,,3.06,8.85,0,0,0,0
aten::as_strided,,,5.79,5.79,0,0,0,0
aten::unsqueeze,,,4.63,7.22,0,0,0,0
aten::as_strided,,,2.59,2.59,0,0,0,0
aten::repeat,,,25.79,41.58,0,5.8,0,0
empty_tensor,,,12.24,12.24,0,0,0,0
aclnnRepeat,,,3.55,3.55,5.8,5.8,0,0
aten::sym_size,,,3.06,3.06,0,0,0,0
_C_ascend::npu_hc_pre_v2,,,82.14,134.41,0,31.7805,0,0
aten::empty,,,3.05,12.5,0,0,0,0
empty_tensor,,,9.45,9.45,0,0,0,0
aten::empty,,,1.4,5.32,0,0,0,0
empty_tensor,,,3.92,3.92,0,0,0,0
aten::empty,,,1.18,5.11,0,0,0,0
empty_tensor,,,3.93,3.93,0,0,0,0
aten::empty,,,2.58,16.08,0,0,0,0
empty_tensor,,,13.5,13.5,0,0,0,0
aclnnHcPre,,,13.26,13.26,31.7805,31.7805,0,0
npu::npu_rms_norm,,,77.32,98.82,0,6.0,0,0
empty_tensor,,,7.58,7.58,0,0,0,0
empty_tensor,,,3.75,3.75,0,0,0,0
aclnnRmsNorm,,,10.17,10.17,6.0,6.0,0,0
aten::empty,,,9.08,16.5,0,0,0,0
empty_tensor,,,7.42,7.42,0,0,0,0
aten::alias,,,7.53,7.53,0,0,0,0
vllm::dsa_forward,,,2740.28,8039.75,0,289.1855,0,0
aten::empty,,,3.85,15.66,0,0,0,0
empty_tensor,,,11.81,11.81,0,0,0,0
c10d::_allgather_base_,,,64.64,99.52,0,19.06,0,0
record_event,,,15.79,15.79,0.02,0.02,0,0
wait_event,,,5.92,5.92,8.18,8.18,0,0
HcclAllgatherBase,,,4.11,6.33,0,10.62,0,0
HcclAllGather,,,2.22,2.22,10.62,10.62,0,0
record_event,,,4.12,4.12,0.22,0.22,0,0
