Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,Cast_e87590d11ccda8b259ab6b1ea7212319_high_performance_210000000,KERNEL_AIVEC,47,29720,0.880,1790315215714745.701	,1790315215714746.581	
0,GreaterEqual_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_223000000,KERNEL_AIVEC,47,29721,2.660,1790315215714851.943	,1790315215714854.603	
0,Cast_e87590d11ccda8b259ab6b1ea7212319_high_performance_210000000,KERNEL_AIVEC,47,29722,0.980,1790315215714947.945	,1790315215714948.925	
0,Less_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_223000000,KERNEL_AIVEC,47,29723,2.440,1790315215714992.606	,1790315215714995.046	
0,LogicalAnd_91d2a3cdd75d915a368582ec5f440af1_high_performance_210000000,KERNEL_AIVEC,47,29724,1.600,1790315215715086.787	,1790315215715088.387	
0,Cast_bbb33f17aca2fbbf645166c6cba610fc_high_performance_210000000,KERNEL_AIVEC,47,29725,1.120,1790315215715181.269	,1790315215715182.389	
0,Mul_41dadce325b0f810d03359af2a38990b_high_performance_223000000,KERNEL_AIVEC,47,29726,1.940,1790315215715249.971	,1790315215715251.911	
0,Cast_e87590d11ccda8b259ab6b1ea7212319_high_performance_210000000,KERNEL_AIVEC,47,29727,1.280,1790315215715328.812	,1790315215715330.092	
0,Sub_41dadce325b0f810d03359af2a38990b_high_performance_210000000,KERNEL_AIVEC,47,29728,2.520,1790315215715378.313	,1790315215715380.833	
0,Cast_bbb33f17aca2fbbf645166c6cba610fc_high_performance_210000000,KERNEL_AIVEC,47,29729,1.060,1790315215715436.954	,1790315215715438.014	
0,Mul_41dadce325b0f810d03359af2a38990b_high_performance_210000000,KERNEL_AIVEC,47,29730,2.140,1790315215715469.675	,1790315215715471.815	
0,LogicalNot_c5fb21ce50d8471d9b8df5001b9dc9a5_high_performance_210000000,KERNEL_AIVEC,47,29731,1.120,1790315215715537.596	,1790315215715538.716	
0,GatherV2_7869a97190b9b4d296d9414a005b954b_high_precision_900015010,KERNEL_AIVEC,47,29732,7.060,1790315215715676.079	,1790315215715683.139	
0,TensorMove_d2db1a80c523e7e59a032c95969880af_high_performance__kernel0,KERNEL_AIVEC,47,29733,6.920,1790315215717024.966	,1790315215717031.886	
0,MaskedFill_56fa5818fd7054b95187cc25e525baa3_high_performance_299900007,KERNEL_AIVEC,47,29734,12.380,1790315215717603.358	,1790315215717615.738	
0,N/A,EVENT_RECORD,47,29735,0.020,1790315215717958.325	,1790315215717958.345	
0,N/A,EVENT_WAIT,38,2875,0.020,1790315215717967.345	,1790315215717967.365	
0,aiv_reduce_scatter_bfloat16_t,KERNEL_AIVEC,38,2876,12.560,1790315215718154.049	,1790315215718166.609	
0,N/A,EVENT_RECORD,38,2877,0.020,1790315215718258.511	,1790315215718258.531	
0,N/A,EVENT_RECORD,38,2878,0.200,1790315215718262.231	,1790315215718262.431	
0,N/A,EVENT_WAIT,47,29736,0.020,1790315215718277.411	,1790315215718277.431	
0,Tile_7e5992d3033ef32a3463c5d198e518a1_high_performance_212100002,KERNEL_AIVEC,47,29737,5.800,1790315215718330.412	,1790315215718336.212	
0,HcPre_c12a9d608e5abdbd1728e849208025ff_0,KERNEL_MIX_AIC,47,29738,31.780,1790315215718448.535	,1790315215718480.315	
0,RmsNorm_normal_all_bf16_high_performance_0,KERNEL_AIVEC,47,29739,6.000,1790315215718555.037	,1790315215718561.037	
0,N/A,EVENT_WAIT,38,2879,8.180,1790315215719066.307	,1790315215719074.487	
0,N/A,EVENT_RECORD,47,29740,0.020,1790315215719073.887	,1790315215719073.907	
0,aiv_all_gather_bfloat16_t,KERNEL_AIVEC,38,2880,10.620,1790315215719147.889	,1790315215719158.509	
0,N/A,EVENT_RECORD,38,2881,0.220,1790315215719204.250	,1790315215719204.470	
